date,beach_lo_m,beach_hi_m,beach_cons_m,offshore_min_m,offshore_mean_m,offshore_max_m,swell_h_m,swell_t_s
2026-07-31,0.8,0.9,0.8,1.5,1.6,1.7,0.6,6.2
2026-08-01,1.1,1.2,1.2,1.9,1.9,2,0.88,6.45
2026-08-02,1,1.1,1.1,1.4,1.5,1.5,0.84,5.6
2026-08-03,0.9,1,1,1.2,1.3,1.3,0.7,6.05
2026-08-04,1.1,1.2,1.2,1.6,1.6,1.6,0.9,6.1
2026-08-05,1.1,1.2,1.1,1.5,1.5,1.6,0.88,6
2026-08-06,0.8,1.2,1,1.3,1.5,1.8,0.72,5.85
2026-08-07,0.8,0.9,0.9,1.1,1.2,1.2,0.66,5.45
2026-08-08,0.8,0.9,0.8,1.1,1.1,1.2,0.58,5.85
2026-08-09,0.9,1,0.9,1.2,1.2,1.3,0.72,5.4
2026-08-10,0.9,1,0.9,1.2,1.2,1.2,0.7,5.65
