date,obs_min_m,obs_mean_m,obs_max_m
2026-07-29,1.2,1.2,1.2
2026-07-30,1.2,1.3,1.5
2026-07-31,1.5,1.6,1.6
2026-08-01,1.8,1.8,1.9
2026-08-02,1.4,1.5,1.5
2026-08-03,1.3,1.3,1.4
2026-08-04,1.5,1.6,1.6
2026-08-05,1.5,1.7,2.1
2026-08-06,1.3,1.5,1.8
2026-08-07,1.1,1.1,1.2
2026-08-08,1.1,1.1,1.2
2026-08-09,1.1,1.2,1.3
2026-08-10,1.1,1.2,1.2
2026-08-11,1.4,1.6,1.7
2026-08-12,1.5,1.6,1.6
2026-08-13,1.4,1.4,1.5
2026-08-14,1.2,1.3,1.4
2026-08-15,1.5,1.5,1.7
2026-08-16,1.7,1.8,2
2026-08-17,1.7,1.8,1.9
2026-08-18,1.6,1.6,1.7
2026-08-19,1.8,1.8,1.9
2026-08-20,1.7,1.7,1.8
2026-08-21,1.4,1.5,1.5
2026-08-22,1.1,1.2,1.2
2026-08-23,1.4,1.4,1.5
2026-08-24,1.7,1.8,1.9
2026-08-25,1.6,1.7,1.8
2026-08-26,1.3,1.4,1.5
